Distance,Temperature,Pressure,Speed,Density (kg/m^3),Mass Fraction (H2),Mass Fraction (O),Mass Fraction (O2),Mass Fraction (OH),Mass Fraction (H2O),Mass Fraction (AR),Mole Fraction (H2),Mole Fraction (O),Mole Fraction (O2),Mole Fraction (OH),Mole Fraction (H2O),Mole Fraction (AR)
6.554823896238694e-08,3370.1727712451893,302999.99998942105,0.011621072248131544,161.95407567714852,0.022009988538891877,0.050184047309123195,0.11188509756885202,0.14360396124443203,0.5653810976915635,0.09981261711430331,0.022009988538891877,0.050184047309123195,0.11188509756885202,0.14360396124443203,0.5653810976915635,0.09981261711430331
6.592006586625399e-08,3370.3434914671207,302999.9999894204,0.01162147837726313,161.94841596128427,0.02200927621567146,0.05017848717278523,0.11187598228138734,0.14360642708476387,0.565394960986981,0.09981261711430332,0.02200927621567146,0.05017848717278523,0.11187598228138734,0.14360642708476387,0.565394960986981,0.09981261711430332
6.629189277012103e-08,3370.507029356362,302999.99998941965,0.011621867403116864,161.9429949632219,0.022008593675701817,0.05017316122151947,0.11186724982515044,0.1436087881166352,0.565408242596397,0.09981261711430332,0.022008593675701817,0.05017316122151947,0.11186724982515044,0.1436087881166352,0.565408242596397,0.09981261711430332
6.666371967398808e-08,3370.663684883699,302999.9999894188,0.011622240041421289,161.93780266243357,0.02200793969030225,0.05016805965282257,0.11185888426457535,0.14361104880607017,0.5654209666858363,0.09981261711430331,0.02200793969030225,0.05016805965282257,0.11185888426457535,0.14361104880607017,0.5654209666858363,0.09981261711430331
6.703554657785513e-08,3370.8137456707914,302999.9999894183,0.011622596978390494,161.9328294551092,0.022007313080142216,0.0501631730694509,0.11185087031579506,0.14361321342815075,0.5654331564368259,0.09981261711430332,0.022007313080142216,0.0501631730694509,0.11185087031579506,0.14361321342815075,0.5654331564368259,0.09981261711430332
6.740737348172217e-08,3370.9574874864206,302999.99998941756,0.011622938871743807,161.92806613705366,0.02200671271333092,0.05015849246310551,0.11184319332084573,0.14361528607474836,0.5654448340854129,0.09981261711430332,0.02200671271333092,0.05015849246310551,0.11184319332084573,0.14361528607474836,0.5654448340854129,0.09981261711430332
6.774201769520251e-08,3371.081671147967,302999.9999894169,0.01162323423510883,161.9239513079333,0.022006193922540503,0.05015444888334613,0.11183656049081812,0.1436170760582552,0.5654549237672579,0.09981261711430332,0.022006193922540503,0.05015444888334613,0.11183656049081812,0.1436170760582552,0.5654549237672579,0.09981261711430332
6.807666190868285e-08,3371.201135900182,302999.99998941633,0.011623518365757564,161.91999316417304,0.022005694747003306,0.05015055909946564,0.11183017935308921,0.14361879745542624,0.5654646308748631,0.09981261711430332,0.022005694747003306,0.05015055909946564,0.11183017935308921,0.14361879745542624,0.5654646308748631,0.09981261711430332
6.841130612216318e-08,3371.316059994267,302999.99998941587,0.011623791688647309,161.91618576289534,0.02200521445313003,0.0501468172914547,0.11182404042621003,0.14362045289975464,0.5654739697976318,0.09981261711430332,0.02200521445313003,0.0501468172914547,0.11182404042621003,0.14362045289975464,0.5654739697976318,0.09981261711430332
6.871248591429549e-08,3371.4157513759246,302999.9999894154,0.011624028777005052,161.91288325511468,0.02200479774778686,0.050143571549196624,0.11181871492976214,0.14362188850456792,0.5654820714936439,0.09981261711430332,0.02200479774778686,0.050143571549196624,0.11181871492976214,0.14362188850456792,0.5654820714936439,0.09981261711430332
6.90136657064278e-08,3371.51202454773,302999.99998941505,0.011624257730220692,161.9096941935023,0.022004395266515354,0.050140437188979405,0.1118135718050352,0.1436232745176048,0.5654898959362862,0.09981261711430332,0.022004395266515354,0.050140437188979405,0.1118135718050352,0.1436232745176048,0.5654898959362862,0.09981261711430332
6.93148454985601e-08,3371.604996090792,302999.9999894147,0.011624478826170133,161.90661469466156,0.022004006528506582,0.050137410405794086,0.11180860484733647,0.14362461265529297,0.565497452545201,0.09981261711430332,0.022004006528506582,0.050137410405794086,0.11180860484733647,0.14362461265529297,0.565497452545201,0.09981261711430332
6.961602529069241e-08,3371.6947786495184,302999.99998941424,0.011624692333166584,161.90364100729596,0.02200363106889011,0.05013448752357558,0.11180380806043205,0.14362590457435506,0.5655047504244645,0.09981261711430332,0.02200363106889011,0.05013448752357558,0.11180380806043205,0.14362590457435506,0.5655047504244645,0.09981261711430332
6.991720508282471e-08,3371.781481066668,302999.9999894139,0.011624898510665721,161.9007695076019,0.022003268438204045,0.0501316649907488,0.11179917564964767,0.14362715187377104,0.5655117983733529,0.09981261711430335,0.022003268438204045,0.0501316649907488,0.11179917564964767,0.14362715187377104,0.5655117983733529,0.09981261711430335
7.018826689574379e-08,3371.8569667136967,302999.99998941337,0.011625078011012119,161.8982696326919,0.02200295267989286,0.05012920767155692,0.11179514238931972,0.14362823757042634,0.5655179348712774,0.09981261711430332,0.02200295267989286,0.05012920767155692,0.11179514238931972,0.14362823757042634,0.5655179348712774,0.09981261711430332
7.045932870866287e-08,3371.930116871005,302999.9999894131,0.011625251954282594,161.89584722372783,0.022002646654150738,0.05012682643394217,0.11179123378396282,0.14362928946446818,0.5655238818183987,0.09981261711430332,0.022002646654150738,0.05012682643394217,0.11179123378396282,0.14362928946446818,0.5655238818183987,0.09981261711430332
7.073039052158195e-08,3372.0010034704806,302999.9999894126,0.011625420511861138,161.89349988739983,0.022002350063463575,0.05012451893141696,0.11178744600227213,0.14363030860992237,0.565529645033944,0.09981261711430331,0.022002350063463575,0.05012451893141696,0.11178744600227213,0.14363030860992237,0.565529645033944,0.09981261711430331
7.100145233450103e-08,3372.069696255525,302999.9999894125,0.011625583849882657,161.89122530366865,0.022002062619230614,0.05012228288906035,0.11178377532900974,0.14363129602796795,0.5655352301612327,0.09981261711430331,0.022002062619230614,0.05012228288906035,0.11178377532900974,0.14363129602796795,0.5655352301612327,0.09981261711430331
7.12725141474201e-08,3372.1362628308566,302999.9999894122,0.011625742129376733,161.88902122406273,0.02200178404157599,0.05012011610188824,0.11178021816241476,0.1436322527077702,0.5655406426715771,0.09981261711430332,0.02200178404157599,0.05012011610188824,0.11178021816241476,0.1436322527077702,0.5655406426715771,0.09981261711430332
